Code,Category,Group,Activity Name,Arabic Name,Third Party,When,Notes
4322.02,Service and Consultancy,432,Duct work installation,تركيب مجاري التوصيلات,N/A,N/A,
4329,Service and Consultancy,432,Other construction installation,تركيبات إنشائية أخرى,Sharjah Municipality,PRE,
4329.01,Service and Consultancy,432,"Installation in buildings or other construction projects of:• Elevators, escalators• Automated and revolving doors• Lightning conductors• Vacuum cleaning systems• Thermal, sound or vibration insulation","تركيب ما يلي في المباني وغيرها من المشاريع الإنشائية: 
 • المصاعد والسلالم المتحركة
 • الأبواب ذاتية الحركة والدوارة 
 • موصلات الإضاءة 
 • نُظم التنظيف بالكنس
 • العزل الحراري أو الصوتي أو عزل الذبذبات",N/A,N/A,
4510.09,Service and Consultancy,451,Electric cars trading,تجارة العربات الكهربائية المتخصصة,N/A,N/A,
4510.12,Service and Consultancy,451,New automobile trading for export,تجارة السيارات الجديدة لاغراض التصدير,N/A,N/A,
4520,Service and Consultancy,452,"Sale, maintenance and repair of motorcycles and related parts and accessories",بيع وصيانة وإصلاح الدراجات النارية وقطع الغيار والملحقات ذات الصلة,N/A,N/A,
4530,Wholesale and Retail,453,Sale of motor vehicle parts and accessories,بيع قطع غيار المركبات ذات المحركات وملحقاتها,N/A,N/A,
4530.01,Wholesale and Retail,453,"Wholesale and retail sale of all kinds of parts, components, supplies, tools and accessoriesfor motor vehicles, such as:• Rubber tires and inner tubes for tires• Spark plugs, batteries, lighting equipment and electrical parts","بيع جميع أنواع قطع الغيار للمركبات ذات المحركات وأجزائها وملحقاتها، وتجهيزاتها ومعداتها، بالجملة والتجزئة، مثل: 
• الإطارات الداخلية والخارجية المطاطية.  
• شمعات الاحتراق والبطاريات وأجهزة الإضاءة وقطع الغيار الكهربائية",N/A,N/A,
4530.02,Service and Consultancy,453,"Trucks, equipment and machinery batteries trading",تجارة بطاريات الشاحنات والمعدات والاليات,N/A,N/A,
4530.03,Service and Consultancy,453,Cars accessories trading,تجارة زينة واكسسوارات السيارات,N/A,N/A,
4530.04,Service and Consultancy,453,Cars additional parts trading,تجارة الأجزاء الاضافية للسيارات,N/A,N/A,
4540.96,Wholesale and Retail,454,Commercial Brokers,وسيط تجاري,N/A,N/A,
4540.99,Service and Consultancy,454,Scooters trading,تجارة الدراجات الكهربائية,N/A,N/A,
4610,Wholesale and Retail,461,Wholesale on a fee or contract basis,البيع بالجملة نظير رسم أو على أساس عقد,N/A,N/A,
4610.01,Wholesale and Retail,461,Activities of commission agents and all other wholesalers who trade on behalf and on the account of others,أنشطة الوكلاء بالعمولة وجميع تجار الجملة الآخرين ممن يتاجرون باسم آخرين ولحسابهم,N/A,N/A,
4610.02,Wholesale and Retail,461,"Activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the internet",أنشطة الأشخاص الذين يعملون على الوصل بين البائعين والمشترين أو القيام بمعاملات تجارية باسم بائع رئيسي، بما في ذلك إبرام معاملات عن طريق الإنترنت,N/A,N/A,
4610.03,Wholesale and Retail,461,"Such agents involved in the sale of:• Agricultural raw materials, live animals, textile raw materials and semi-finished goods• Fuels, ores, metals and industrial chemicals, including fertilizers• Food and beverages• Textiles, clothing, fur, footwear and leather goods• Timber and building materials• Machinery, including office machinery and computers, industrial equipment, ships and aircraft• Furniture, household goods and hardware","الوكلاء الذين يعملون في بيع ما يلي: 
• المواد الخام الزراعية، والحيوانات الحية، ومواد النسيج الأولية والسلع شبه كاملة الصنع. 
• الوقود، والخام، والمعادن، والكيميائيات الصناعية، بما في ذلك الأسمدة . 
• الأغذية والمشروبات. 
• المنسوجات، والملبوسات، والفراء، والأحذية والمصنوعات الجلدية. 
• الأخشاب ومواد البناء . 
• الآلات بما في ذلك الآلات المكتبية والحواسيب، والمعدات الصناعية والسفن والطائرات. 
• الأثاث والسلع المنزلية والأدوات المعدنية",Sharjah Municipality/ Sharjah National Oil Corporation/ Sharjah Police Headquarters,POST,
4610.04,Wholesale and Retail,461,Activities of wholesale auctioneering houses,أنشطة بيع الجملة بالمزاد,N/A,N/A,
4610.11,Wholesale and Retail,461,Commercial brokerage services,خدمات الوساطة التجارية,N/A,N/A,
4610.12,Wholesale and Retail,461,Services Broker,وسيط خدمات,N/A,N/A,
4620,Wholesale and Retail,462,Wholesale of agricultural raw materials and live animals,تجارة المواد الخام الزراعية والحيوانات الحية بالجملة,N/A,N/A,
4620.01,Wholesale and Retail,462,Wholesale of grains and seeds,بيع الحبوب والبذور بالجملة,N/A,N/A,
4620.02,Wholesale and Retail,462,Wholesale of oleaginous fruits,بيع الفواكه الزيتية بالجملة,N/A,N/A,
4620.03,Wholesale and Retail,462,Wholesale of flowers and plants,بيع الزهور والنباتات بالجملة,Sharjah Municipality  / Ministry Of Climate Change And Environment,POST,
4620.04,Wholesale and Retail,462,Wholesale of live animals,بيع الحيوانات الحية بالجملة,Sharjah Municipality  / Ministry Of Climate Change And Environment,PRE,
4620.05,Wholesale and Retail,462,Wholesale of hides and skins,بيع الجلود والصلال بالجملة,N/A,N/A,
4620.06,Wholesale and Retail,462,Wholesale of leather,بيع المواد المدبوغة بالجملة,N/A,N/A,
4620.07,Wholesale and Retail,462,"Wholesale of agricultural material, waste, residues and by-products used for animal feed",بيع المواد الزراعية والمخلفات والفضلات والمنتجات الثانوية الزراعية المستخدمة لعلف الحيوان بالجملة,Sharjah Municipality  / Ministry Of Climate Change And Environment,POST,
4620.1,Wholesale and Retail,462,Atural herbs trading,جارة النباتات والأعشاب الطبيعية,N/A,N/A,
4620.11,Wholesale and Retail,462,Wholesale of plants and trees saplings trading,تجارة شتلات الأشجار و النباتات - بالجملة,N/A,N/A,
4620.12,Wholesale and Retail,462,Wholesale trade in soil stabilizers,تجارة مواد تثبيت التربة - بالجملة,N/A,N/A,
4620.14,Wholesale and Retail,462,Wholesale of parks equipment trading,تجارة معدات الحدائق - بالجملة,N/A,N/A,
4630,Wholesale and Retail,463,Wholesale of food and beverages,بيع الأغذية والمشروبات بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.01,Wholesale and Retail,463,Wholesale of fruit and vegetables,بيع الخضروات والفواكه بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.02,Wholesale and Retail,463,Wholesale of dairy products,بيع منتجات الألبان بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.03,Wholesale and Retail,463,Wholesale of eggs and egg products,بيع البيض ومنتجات البيض بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.04,Wholesale and Retail,463,Wholesale of edible oils and fats of animal or vegetable origin,بيع زيوت الطعام والدهون الحيوانية والدهون النباتية بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.05,Wholesale and Retail,463,Wholesale of meat and meat products,بيع اللحوم ومنتجات اللحوم بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.06,Wholesale and Retail,463,Wholesale of fishery products,بيع المنتجات السمكية بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.07,Wholesale and Retail,463,"Wholesale of sugar, chocolate and sugar confectionery",بيع السكر والشوكولاتة والحلويات بالجملة,Food Control Section - Sharjah Municibality,POST,
4630.08,Wholesale and Retail,463,Wholesale of bakery products,بيع منتجات المخابز بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.09,Wholesale and Retail,463,Wholesale of beverages,بيع المشروبات بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.1,Wholesale and Retail,463,"Wholesale of coffee, tea, cocoa and spices",بيع البن والشاي والكاكاو والتوابل بالجملة,Sharjah City Municipality - Public Health Department,POST,
4630.11,Wholesale and Retail,463,Wholesale of feed for pet animals,بيع أغذية الحيوانات الأليفة بالجملة,Sharjah City Municipality - Public Health Department,PRE,
4630.15,Wholesale and Retail,463,Baby food trading,تجارة اغذية الاطفال,Sharjah City Municipality - Public Health Department,Post,
4630.16,Wholesale and Retail,463,Canned and preserved food trading,تجارة المواد الغذائية المعلبة والمحفوظة,N/A,N/A,
4630.17,Wholesale and Retail,463,Flavors & fragrances trading,تجارة المنكهات ومكسبات الطعم,Sharjah Municipality,Post,
4630.22,Wholesale and Retail,463,Wholesale of frozen foodstuff trading,تجارة المواد الغذائية المجمدة - بالجملة,Sharjah Municipality,Post,
4630.28,Wholesale and Retail,463,Wholesale of organic food trading,تجارة المواد الغذائية العضوية - بالجملة,Sharjah Municipality,Post,
4630.44,Wholesale and Retail,463,Flavours & fragrances trading,تجارة المنكهات ومكسبات الطعم,N/A,N/A,
4641,Wholesale and Retail,464,"Wholesale of textiles, clothing and footwear",بيع المنسوجات والملبوسات والأحذية بالجملة,N/A,N/A,
4641.01,Wholesale and Retail,464,Wholesale of yarn,بيع خيوط الغزل بالجملة,N/A,N/A,
4641.02,Wholesale and Retail,464,Wholesale of fabrics,بيع الأقمشة بالجملة,N/A,N/A,
4641.03,Wholesale and Retail,464,Wholesale of household linen etc.,بيع المفروشات المنزلية وغيرها بالجملة,N/A,N/A,
4641.04,Wholesale and Retail,464,"Wholesale of haberdashery: needles, sewing thread etc.",بيع الخردوات بالجملة: إبر وخيوط الحياكة، إلخ,N/A,N/A,
4641.05,Wholesale and Retail,464,"Wholesale of clothing, including sports clothes",بيع الملبوسات بالجملة، بما فيها الملبوسات الرياضية,N/A,N/A,
4641.06,Wholesale and Retail,464,"Wholesale of clothing accessories such as gloves, ties and braces",بيع ملحقات لملبوسات بالجملة، مثل القفازات وربطات العنق وحمالات السراويل,N/A,N/A,
4641.07,Wholesale and Retail,464,Wholesale of footwear,بيع الأحذية بالجملة,N/A,N/A,
4641.08,Wholesale and Retail,464,Wholesale of fur articles,بيع الأصناف المصنوعة من الفراء بالجملة,N/A,N/A,
4641.09,Wholesale and Retail,464,Wholesale of umbrellas,بيع المظلات بالجملة,N/A,N/A,
4641.1,Wholesale and Retail,464,Wax candles trading,تجارة الشموع,N/A,N/A,
4641.30,Wholesale and Retail,464,Ace masks & gloves trading,جارة الاقنعة والقفازات,N/A,N/A,
4649,Wholesale and Retail,464,Wholesale of other household goods,بيع السلع المنزلية الأخرى بالجملة,N/A,N/A,
4649.01,Wholesale and Retail,464,Wholesale of household furniture,بيع الأثاث المنزلي بالجملة,N/A,N/A,
4649.02,Wholesale and Retail,464,Wholesale of household appliances,بيع الأجهزة المنزلية بالجملة,N/A,N/A,
4649.03,Wholesale and Retail,464,Wholesale of consumer electronics:• Radio and TV equipment• CD and DVD players and recorders• Stereo equipment• Video game consoles,"بيع الإلكترونيات الاستهلاكية بالجملة: 
• أجهزة الإذاعة والتليفزيون. 
• أجهزة تشغيل وتسجيل الأقراص الحاسوبية المدمجة وأقراص الفيديو الرقمية والمسجلات. 
• معدات الإستيريو. 
• أجهزة تشغيل ألعاب الفيديو",N/A,N/A,
4649.04,Wholesale and Retail,464,Wholesale of lighting equipment,بيع معدات الإضاءة بالجملة,N/A,N/A,
4649.05,Wholesale and Retail,464,Wholesale of cutlery,بيع أدوات المائدة بالجملة,N/A,N/A,
4649.06,Wholesale and Retail,464,Wholesale of china and glassware,بيع الصيني والزجاجيات بالجملة,N/A,N/A,
4649.07,Wholesale and Retail,464,"Wholesale of woodenware, wickerwork and corkware etc.",بيع الأصناف المصنوعة من الخشب، والأصناف المصنوعة من أماليد مجدولة، والأصناف المصنوعة من الفلين، إلخ، بالجملة,N/A,N/A,
4649.08,Wholesale and Retail,464,Wholesale of pharmaceutical and medical goods,بيع المستحضرات الصيدلانية والسلع الدوائية بالجملة,Ministry of Health,POST,
4649.09,Wholesale and Retail,464,"Wholesale of perfumery cosmetics, beauty products and soaps",بيع العطور ومستحضرات التجميل ومنتجات التجميل والصابون بالجملة,N/A,N/A,
4649.1,Wholesale and Retail,464,Wholesale of bicycles and their parts and accessories,بيع الدراجات وقطع غيارها وملحقاتها بالجملة,N/A,N/A,
4649.11,Wholesale and Retail,464,"Wholesale of stationery, books, magazines and newspapers",بيع الأدوات المكتبية والكتب والمجلات والُصحف بالجملة,UAE Media Council,POST,
4649.12,Wholesale and Retail,464,"Wholesale of photographic and optical goods (e.g. sunglasses, binoculars, magnifying glasses)",بيع السلع الفوتوغرافية والبصرية بالجملة (مثل نظارات الشمس والنظارات المقربة والنظارات المكبرة),N/A,N/A,
4649.13,Wholesale and Retail,464,"Wholesale of recorded audio and video tapes, CDs, DVDs",بيع الشرائط الصوتية والمصورة والأقراص الحاسوبية المدمجة وأقراص الفيديو الرقمية المسجلة بالجملة,UAE Media Council,POST,
4649.14,Wholesale and Retail,464,Wholesale of leather goods and travel accessories,بيع السلع الجلدية ولوازم السفر بالجملة,N/A,N/A,
4649.15,Wholesale and Retail,464,"Wholesale of watches, clocks and jewellery",بيع الساعات بأنواعها والمجوهرات بالجملة,Sharjah Police Headquarters,PRE,
4649.16,Wholesale and Retail,464,"Wholesale of musical instruments, games and toys, sports goods",بيع الأدوات الموسيقية والألعاب واللُعب والأدوات الرياضية بالجملة,N/A,N/A,
4649.21,Wholesale and Retail,464,Wholesale of personal requisites,بيع المتطلبات الشخصية بالجملة,N/A,N/A,
4649.22,Wholesale and Retail,464,Gifts trading,تجارة الهدايا,N/A,N/A,
4649.23,Wholesale and Retail,464,Equipment trading of e-games and entertainment halls,تجارة معدات الألعاب الإلكترونية و قاعات الترفيه,N/A,N/A,
4649.26,Wholesale and Retail,464,"Audio Visual, Recording Equipment & Accessories Trading",تجارة الاجهزة السمعية والمرئية واجهزة التسجيل ولوازمها,N/A,N/A,
4649.32,Wholesale and Retail,464,Wholesale of Photographic Films and Material Trading,تجارة افلام ومواد التصوير الفوتوغرافي - بالجملة,N/A,N/A,
4649.43,Wholesale and Retail,464,"Authentic antiques, artefacts and artworks trading",تجارة المقتنيات والقطع والأعمال الفنية الأصلية,N/A,N/A,
4651,Wholesale and Retail,465,"Wholesale of computers, computer peripheral equipment and software",بيع الحواسيب والمعدات الطرفية للحواسيب والبرمجيات بالجملة,N/A,N/A,
4651.01,Wholesale and Retail,465,Wholesale of computers and computer peripheral equipment,بيع الحواسيب والمعدات الطرفية للحواسيب بالجملة,N/A,N/A,
4651.02,Wholesale and Retail,465,Wholesale of software,بيع البرمجيات بالجملة,N/A,N/A,
4651.17,Wholesale and Retail,465,Wholesale of Specialized Photography Equipment Tools and Outfit Trading,تجارة مواد و لوازم معدات التصوير التخصصي - بالجملة,N/A,N/A,
4651.82,Wholesale and Retail,465,Wholesale of Photographic and Optic Apparatuses Trading,تجارة الأجهزة الفوتوغرافية و البصرية - بالجملة,N/A,N/A,
4652,Wholesale and Retail,465,Wholesale of electronic and telecommunications equipment and parts,بيع المعدات الإلكترونية ومعدات الاتصالات وقطع غيارها بالجملة,UAE Media Council,POST,
4652.01,Wholesale and Retail,465,Wholesale of electronic valves and tubes,بيع الصمامات والأنابيب الإلكترونية بالجملة,N/A,N/A,
4652.02,Wholesale and Retail,465,Wholesale of semiconductor devices,بيع أشباه الموصلات بالجملة,N/A,N/A,
4652.03,Wholesale and Retail,465,Wholesale of microchips and integrated circuits,بيع الرقائق الدقيقة والدارات المتكاملة بالجملة,N/A,N/A,
4652.04,Wholesale and Retail,465,Wholesale of printed circuits,بيع الدارات المطبوعة بالجملة,N/A,N/A,
4652.05,Wholesale and Retail,465,"Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs)",بيع الأشرطة والأقراص السمعية والبصرية غير المسجلة والأقراص المغناطيسية والضوئية (الأقراص الحاسوبية المدمجة وأقراص الفيديو الرقمية) غير المسجلة بالجملة,UAE Media Council,POST,
4652.06,Wholesale and Retail,465,Wholesale of telephone and communications equipment,بيع معدات الهاتف والاتصالات بالجملة,Telecommunications And Digital Government Regulatory Authority (TDRA),PRE,
4653,Wholesale and Retail,465,"Wholesale of agricultural machinery, equipment and supplies",بيع الآلات والمعدات واللوازم الزراعية بالجملة,N/A,N/A,
4653.01,Wholesale and Retail,465,"Wholesale of agricultural machinery and equipment:• Ploughs, manure spreaders, seeders• Harvesters• Threshers• Milking machines• Poultry-keeping machines, bee-keeping machines• Tractors used in agriculture and forestry","بيع الآلات والمعدات الزراعية بالجملة: 
• المحاريث وآلات نثر السماد والبذور. 
• الحصادات. 
• الدراسات. 
• ماكينات الحلب. 
• ماكينات تربية الطيور والنحل. 
• المحاريث المستعملة في الزراعة والحراجة.",N/A,N/A,
